Date,Ticker,Adj Close,return_1d,return_5d,return_10d,return_20d,return_60d,MA5_ratio,MA10_ratio,MA20_ratio,MA50_ratio,MA200_ratio,RSI,MACD_pct,MACD_signal_pct,ATR_pct,volatility_20d,volume_change,volume_ratio
2026-08-06,KO,86.8499984741211,0.0002302964717806,-0.0185331611395586,0.0699765976753328,0.0510710560447049,0.111247418729389,-0.0010122212304346,0.0019034364814107,0.0253473829919075,0.0548931144354525,0.1464218426714416,70.84317067525198,0.0169590966036338,0.0151674713780415,0.0215067107613342,0.0184450735287702,-0.1449466241508388,0.7758294130175925
2026-08-06,PFE,26.200000762939453,0.0151104728813225,0.0517864682227753,0.0659072760073931,0.0993130186962536,0.0328686994979705,0.0277734410429129,0.0397650850153454,0.0582525871740382,0.0598826858862444,0.0486100203076238,74.96161197766543,0.0127660808816299,0.0060527043094319,0.0215423893869384,0.0108382322515951,0.085345199465344,1.2463227628104383
2026-08-06,AAPL,312.14080810546875,0.0045337552777839,-0.0630416439676784,-0.0287570886651341,-0.0120485256015473,0.0674115559626034,0.0109570733241313,-0.0318121685145846,-0.0343738014321043,0.0086338417050459,0.1202625532769394,36.405352686271385,0.0044174375128432,0.0155478909995097,0.031248389436463,0.023573874499707,-0.0667269432105956,0.8192105467105936
2026-08-06,WMT,112.06999969482422,-0.0024033883912041,0.008730884194648,0.0338560711926665,-0.0012476552071178,-0.1216396041110113,0.0044454861861009,0.0028635387914841,-0.0002319391493165,-0.0233329871847893,-0.0483690678317676,43.71743037234301,-0.0087546561557464,-0.0118956995220956,0.0237797838656875,0.0133352567115739,0.0819162279740561,1.0774339324056257
2026-08-06,HD,349.5199890136719,-0.0102509641632355,0.0485075224661462,0.0764066342628266,0.0318542133185217,0.1308336729038706,0.0143480515595595,0.0255747915726696,0.0317446018327411,0.0478977601268879,0.0139782924573652,57.4757708326282,0.0082818396481134,0.0045026067588031,0.0242618458278258,0.0173970717636464,-0.1649471404916571,0.6893034943565642
2026-08-06,ORCL,143.47000122070312,-0.0063716197301353,0.1247256504124754,0.1951849394075193,-0.00173949344473,-0.2572785118096702,0.0170560861089636,0.0989911762549038,0.1108745308926326,-0.1077023272339361,-0.1977778405656407,64.1647198333747,-0.0256995349143201,-0.0589525543700159,0.0506726210417801,0.0443984662976042,-0.0191633261208717,0.6081319892560265
2026-08-06,UNH,403.9700012207031,-0.0212719534325787,-0.0415213418495142,-0.0462508179497772,-0.0641910487519167,0.0568027246185669,-0.0166404398603439,-0.0296739986926357,-0.0407816714502502,-0.0189016750584083,0.1789590255368345,37.451786112461406,-0.0021825807250404,0.0056586126273084,0.0297193081928309,0.0160932101638156,-0.1271716984626782,0.8566644912532018
2026-08-06,CSCO,120.87999725341795,-0.0051029032640496,0.0644593153592425,0.0720113068761507,0.0217225910561904,0.2290538749564334,0.0141449951615553,0.0364133466031537,0.0487593077695283,0.0278040975367983,0.3445717440202176,72.80611098979348,0.0092663418256702,0.0011596311141972,0.0303134183944962,0.021185233560489,-0.2392696833020191,0.6819582278318193
2026-08-06,CAT,856.9600219726562,-0.0162097566700708,0.0590997929387981,-0.042010370668463,-0.0850821312211111,-0.073630694867716,0.0083258575410494,0.0148588608689264,-0.0184327746318725,-0.065449762520203,0.1546263698027226,46.00036600856407,-0.0270096129161099,-0.0283391855950345,0.0488312422924767,0.0282168879024806,-0.1387666508087536,0.9205466391228349
2026-08-06,VZ,46.9900016784668,0.0111900246202705,0.0190848201359095,0.0723414423943276,0.1314167385772406,0.0118789623854627,0.0018762629748871,0.0003619304929245,0.0411104843130196,0.0464069878642685,0.079919463218681,66.25239877375344,0.0175993995046742,0.0128018560301508,0.0306752190197808,0.0183503153005619,-0.386138663890896,0.8918690046063564
